"Enfermedad","Año","Comunidad","Casos","Tasa notificacion","Hombres","Mujeres","Rango edad","Casos edad"
"chikungunya",2022,"España",10,0.021,"4","6","",""
"chikungunya",2024,"España",54,0.111,"33","21","Total","54"
"chikungunya",2024,"España",54,0.111,"2","1","0-15","3"
"chikungunya",2024,"España",54,0.111,"2","","15-25","4"
"chikungunya",2024,"España",54,0.111,"8","6","25-35","14"
"chikungunya",2024,"España",54,0.111,"8","6","35-45","14"
"chikungunya",2024,"España",54,0.111,"7","3","45-55","10"
"chikungunya",2024,"España",54,0.111,"3","0","55-65","3"
"chikungunya",2024,"España",54,0.111,"3","2",">=65","5"
"chikungunya",2023,"España",191,0.397,"49","142","Total","191"
"chikungunya",2023,"España",191,0.397,"2","2","0-15","4"
"chikungunya",2023,"España",191,0.397,"2","7","15-25","9"
"chikungunya",2023,"España",191,0.397,"6","27","25-35","33"
"chikungunya",2023,"España",191,0.397,"9","48","35-45","57"
"chikungunya",2023,"España",191,0.397,"14","39","45-55","53"
"chikungunya",2023,"España",191,0.397,"13","12","55-65","25"
"chikungunya",2023,"España",191,0.397,"3","6",">=65","9"
